BuildingType,GHGEmissionsIntensity,LargestPropertyUseType,Latitude,ListOfAllPropertyUseTypes,Longitude,Neighborhood,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,TotalGHGEmissions,NumberofBuildings,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),buildingAge,SteamRatio,ElectricityRatio,NaturalGasRatio
NonResidential,2.83,Hotel,47.6122,Hotel,-122.33799,DOWNTOWN,12.0,1.0,Hotel,88434.0,0.0,88434.0,249.98,1.0,88434.0,60.0,81.69999695,7226362.5,89.0,0.277301616131214,0.546059929874816,0.1766383848028659
NonResidential,2.86,Hotel,47.61317,"Hotel, Parking, Restaurant",-122.33393,DOWNTOWN,11.0,2.0,Hotel,88502.0,15064.0,103566.0,295.86,1.0,83880.0,61.0,94.80000305,8387933.0,20.0,0.0,0.38660907281925116,0.6133909271807488
NonResidential,2.19,Hotel,47.61393,Hotel,-122.3381,DOWNTOWN,41.0,3.0,Hotel,759392.0,196718.0,956110.0,2089.28,1.0,756493.0,43.0,96.0,72587024.0,47.0,0.29711307629859574,0.6823074052464253,0.020579435795576907
NonResidential,4.67,Hotel,47.61412,Hotel,-122.33664,DOWNTOWN,10.0,5.0,Hotel,61320.0,0.0,61320.0,286.43,1.0,61320.0,56.0,110.8000031,6794584.0,90.0,0.32591344076399675,0.40751928300540546,0.2665671658485641
NonResidential,2.88,Hotel,47.61375,"Hotel, Parking, Swimming Pool",-122.34047,DOWNTOWN,18.0,8.0,Hotel,113580.0,62000.0,175580.0,505.01,1.0,123445.0,75.0,114.8000031,14172606.0,36.0,0.0,0.3788016826263286,0.6211982468150177
NonResidential,3.1,Police Station,47.61623,Police Station,-122.33657,DOWNTOWN,2.0,9.0,Other,60090.0,37198.0,97288.0,301.81,1.0,88830.0,24.666666666666668,136.1000061,12086616.0,17.0,0.0,0.609884023783001,0.39011597621699906
NonResidential,2.12,Hotel,47.6139,Hotel,-122.33283,DOWNTOWN,11.0,10.0,Hotel,83008.0,0.0,83008.0,176.14,1.0,81352.0,27.0,70.80000305,5758795.0,90.0,0.0,0.4881602835315374,0.5118397164684626
NonResidential,2.16,Other - Entertainment/Public Assembly,47.61327,Other - Entertainment/Public Assembly,-122.33136,DOWNTOWN,8.0,11.0,Other,102761.0,0.0,102761.0,221.51,1.0,102761.0,88.33333333333333,61.29999924,6298131.5,90.0,0.36142251078752485,0.5774180802671396,0.061159250168085565
NonResidential,2.39,Hotel,47.60294,Hotel,-122.33263,DOWNTOWN,15.0,12.0,Hotel,163984.0,0.0,163984.0,392.16,1.0,163984.0,43.0,83.69999695,13723820.0,112.0,0.0,0.5317702359838588,0.4682296911501317
NonResidential,4.51,Hotel,47.60695,Hotel,-122.33414,DOWNTOWN,11.0,15.0,Hotel,133884.0,19279.0,153163.0,691.26,1.0,133884.0,30.0,119.5999985,16016644.0,47.0,0.32698269999632884,0.386324813113159,0.2866923932379342
NonResidential,2.22,Hotel,47.60713,Hotel,-122.33323,DOWNTOWN,25.0,16.0,Hotel,272015.0,61161.0,333176.0,740.97,1.0,336640.0,36.0,80.0,26941110.0,18.0,0.22268423609866111,0.6712065315794338,0.10610921376290731
NonResidential,5.05,Hotel,47.60699,Hotel,-122.33346,DOWNTOWN,9.0,17.0,Hotel,65009.0,0.0,65009.0,328.23,1.0,65009.0,48.0,101.5,6596057.5,88.0,0.2511125016724005,0.2036064725027033,0.5452810258248961
NonResidential,2.05,Hotel,47.60809,"Hotel, Parking",-122.33212,DOWNTOWN,33.0,18.0,Hotel,258352.0,57600.0,315952.0,648.62,1.0,295511.0,58.0,75.5,22325364.0,36.0,0.19429642894064347,0.6227975946999117,0.18290586437918774
NonResidential,5.55,Hotel,47.60755,"Hotel, Parking",-122.33244,DOWNTOWN,11.0,19.0,Hotel,66990.0,25200.0,92190.0,511.39,1.0,67390.0,35.0,159.5,10750010.0,94.0,0.4531016715333288,0.3564991102333858,0.19039917172170073
NonResidential,0.44,Library,47.60649,"Data Center, Library, Parking",-122.33297,DOWNTOWN,11.0,21.0,Other,355000.0,57000.0,412000.0,181.38,1.0,364913.0,74.33333333333333,50.79999924,18588860.0,12.0,0.0396775003953981,0.9603223113197904,0.0
NonResidential,4.18,Fitness Center/Health Club/Gym,47.60546,"Fitness Center/Health Club/Gym, Office, Swimming Pool",-122.33279,DOWNTOWN,6.0,22.0,Other,103911.0,0.0,103911.0,433.86,1.0,90000.0,43.0,76.59999847,9956396.0,86.0,0.4612459669141324,0.44733736986757056,0.09141661299932224
NonResidential,1.93,Hotel,47.60681,"Hotel, Parking",-122.33078,DOWNTOWN,28.0,23.0,Hotel,331281.0,85000.0,416281.0,802.89,1.0,348329.0,31.0,96.30000305,33556756.0,33.0,0.0,0.6325187392964922,0.3674811415024742
NonResidential,4.75,Social/Meeting Hall,47.60515,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",-122.33159,DOWNTOWN,5.0,24.0,Mixed Use Property,57452.0,0.0,57452.0,273.02,1.0,16442.0,67.33333333333333,132.3999939,7606084.5,109.0,0.23352381570307298,0.4949709669935957,0.2715051351322747
NonResidential,3.35,Hotel,47.60376,Hotel,-122.33194,DOWNTOWN,10.0,25.0,Hotel,104352.0,0.0,104352.0,349.32,1.0,104352.0,39.0,97.30000305,10154608.0,100.0,0.33786257431109107,0.5818412685157319,0.08029615717317695
NonResidential,2.34,Courthouse,47.60265,Courthouse,-122.33051,DOWNTOWN,10.0,26.0,Other,540360.0,0.0,540360.0,1265.29,1.0,537150.0,76.0,83.69999695,44984468.0,100.0,0.0,0.5414720698708719,0.45852784120954815
NonResidential,4.41,Other,47.60378,Other,-122.32842,DOWNTOWN,19.0,27.0,Other,385274.0,0.0,385274.0,1699.45,1.0,385274.0,69.33333333333333,124.1999969,47859812.0,31.0,0.0,0.3814820877273818,0.6185178913782612
School,0.69,K-12 School,47.54576,K-12 School,-122.26853,SOUTHEAST,2.0,28.0,K-12 School,56228.0,0.0,56228.0,38.53,1.0,58916.0,95.0,26.10000038,1539478.5,55.0,0.0,0.608618437997023,0.3913812372176682
NonResidential,1.02,Hotel,47.65959,"Hotel, Parking",-122.31755,NORTHEAST,6.0,29.0,Hotel,58006.0,30586.0,88592.0,90.01,1.0,58006.0,84.0,63.20000076,3663534.5,15.0,0.0,0.6185914176596399,0.3814084458601386
NonResidential,3.07,College/University,47.61816,College/University,-122.33629,DOWNTOWN,7.0,30.0,University,126593.0,0.0,126593.0,388.04,1.0,125000.0,57.333333333333336,90.69999695,11343686.0,88.0,0.0,0.40969698914444563,0.590302922700787
NonResidential,0.14,Automobile Dealership,47.615,Automobile Dealership,-122.33081,DOWNTOWN,2.0,31.0,Other,67224.0,0.0,67224.0,9.13,1.0,67224.0,86.66666666666667,19.5,1310236.625,86.0,0.0,0.9999995229869261,0.0
NonResidential,1.62,Hotel,47.61301,"Hotel, Parking, Retail Store, Swimming Pool",-122.32929,EAST,8.0,32.0,Hotel,128375.0,30301.0,158676.0,256.57,1.0,112676.0,91.33333333333333,45.5,5328051.5,25.0,0.0,0.10741393922337275,0.892586154619564
NonResidential,1.91,Hotel,47.61784,Hotel,-122.32966,DOWNTOWN,10.0,33.0,Hotel,133585.0,38281.0,171866.0,328.63,1.0,128909.0,57.0,85.80000305,11061916.0,15.0,0.0,0.507209239339731,0.492790760660269
NonResidential,1.88,Hotel,47.61558,Hotel,-122.34186,DOWNTOWN,5.0,35.0,Hotel,52210.0,16200.0,68410.0,128.44,1.0,47994.0,57.0,92.90000153,4456714.5,38.0,0.0,0.5264750524180986,0.4735248353916321
School,1.68,K-12 School,47.70994,K-12 School,-122.29301,NORTH,2.0,36.0,K-12 School,160645.0,0.0,160645.0,270.18,1.0,164229.0,75.0,41.29999924,6779173.0,67.0,0.0,0.28729182748397186,0.7127081725160281
School,0.2,K-12 School,47.6329,K-12 School,-122.35172,MAGNOLIA / QUEEN ANNE,2.0,37.0,K-12 School,51582.0,0.0,51582.0,10.43,1.0,55166.0,99.66666666666667,0.0,0.0,27.0,,inf,
NonResidential,1.81,Office,47.6641,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",-122.33118,LAKE UNION,3.0,38.0,Small- and Mid-Sized Office,87262.0,0.0,87262.0,157.77,1.0,40943.0,68.0,61.5,4145920.5,110.0,0.0,0.3263070288009623,0.6736928505985583
